file|symbols|menu_refs|ice_refs|event_refs|capture_refs|ax_refs|bridging_refs
Thaw/UI/IceUI/IcePicker.swift|1|0|0|0|0|0|0
Thaw/UI/IceUI/IceSection.swift|4|0|0|0|0|0|0
Thaw/UI/IceUI/IceSlider.swift|1|0|0|0|0|0|0
Thaw/UI/IceUI/IceWindow.swift|6|0|0|0|0|0|0
Thaw/UI/Modifiers/ErasedToAnyView.swift|2|0|0|0|0|0|0
Thaw/UI/Modifiers/LocalEventMonitorModifier.swift|3|0|0|6|0|0|0
Thaw/UI/Modifiers/OnFrameChange.swift|3|0|0|0|0|0|2
Thaw/UI/Modifiers/OnKeyDown.swift|4|0|0|1|0|0|0
Thaw/UI/Modifiers/OnWindowChange.swift|5|0|0|0|0|0|0
Thaw/UI/Modifiers/Once.swift|5|0|0|0|0|0|0
Thaw/UI/Shapes/AnyInsettableShape.swift|3|0|0|0|0|0|0
Thaw/UI/Utilities/IceColor.swift|3|0|0|0|0|0|2
Thaw/UI/Utilities/IceGradient.swift|14|2|0|0|0|0|22
Thaw/UI/Views/AnnotationView.swift|5|0|0|0|0|0|0
Thaw/UI/Views/BetaBadge.swift|1|0|0|0|0|0|0
Thaw/UI/Views/CalloutBox.swift|2|0|0|0|0|0|0
Thaw/UI/Views/HotkeyRecorder.swift|5|0|0|1|0|0|0
Thaw/UI/Views/MenuBarItemContainer.swift|5|16|0|0|0|0|0
Thaw/UI/Views/SectionedList.swift|5|0|0|0|0|0|0
Thaw/UI/Views/VisualEffectView.swift|3|0|0|0|0|0|0
Thaw/UserNotifications/UserNotificationIdentifier.swift|1|0|0|0|0|0|0
Thaw/UserNotifications/UserNotificationManager.swift|6|0|0|0|0|0|0
Thaw/Utilities/ConcurrencyHelpers.swift|3|0|0|0|0|0|0
Thaw/Utilities/Constants.swift|1|0|0|0|0|0|0
Thaw/Utilities/Defaults.swift|3|17|3|0|0|0|0
Thaw/Utilities/Extensions.swift|43|24|1|2|35|10|14
Thaw/Utilities/Helpers.swift|1|0|0|0|0|0|0
